_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
126944,195932,1473,SPRINGHILL SUITES BAKERY SQUARE POOL,134 BAKERY SQUARE  BOULEVARD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15206,40.45683112,-79.91493115,POOLS (INDOOR),2021-10-12T15:00:00,2021-10-15T15:30:00,INITIAL INSPECTION,f,1,ANDERSON IAN,,,,,,,,,,,t,t,t,t,t,t,10/21/2021
126947,196018,1098,MCKNIGHT HOTEL - HOT TUB,4575 MCKNIGHT ROAD,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,40.50452415,-80.01036738,SPA/HOT TUB (INDOOR),2021-10-19T13:55:00,2021-10-20T14:10:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,0.4,,,,,,,40,t,t,f,t,t,t,10/26/2021
126948,196029,1384,WYNDHAM UNIVERSITY CENTER / POOL,100 LYTTON AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44610062,-79.9546331,POOLS (INDOOR),2021-10-19T13:20:00,2021-10-20T14:00:00,INITIAL INSPECTION,t,1,ANDERSON IAN,5.6,,0,,,,7.4,,,70,t,t,f,t,t,t,6/9/2023
126949,196041,2366,KEYSTONE OAKS HIGH SCHOOL POOL,1000 KELTON AVENUE,Building & Grounds Dept,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15216,40.38729325,-80.03052896,POOLS (SCHOOLS),2021-10-20T10:00:00,2021-10-21T10:40:00,INITIAL INSPECTION,t,1,WILSON ANGELA,3.2,3.2,0.2,0.2,,,7.4,7.4,,460,t,t,t,t,t,t,1/31/2022
126950,196136,1964,ATRIUM CONDO,307 S DITHRIDGE STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44543484,-79.95005254,POOL (CONDO INDOOR),2021-10-21T10:00:00,2021-10-26T10:45:00,INITIAL INSPECTION,f,1,ANDERSON IAN,2.6,,0,,,,7.8,,,115,t,t,t,t,t,t,10/29/2021
126951,196146,5802,FAIRFIELD INN & SUITES BY MARRIOTT-MCCANDLESS POOL,901 PROVIDENCE BOULEVARD,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.57058542,-80.01890454,POOLS (INDOOR),2021-10-21T13:30:00,2021-10-26T14:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,,,,,2.7,,7.4,,,70,t,t,f,t,t,t,11/23/2021
126953,196178,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.56167424,-80.02703422,POOLS (INDOOR),2021-10-25T14:45:00,2021-10-27T15:40:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1.6,,0.8,,,,7.4,,,60,t,t,f,t,t,t,10/29/2021
126954,196223,2379,HOLIDAY INN EXPRESS / PARKWAY CENTER INN - POOL,875 GREENTREE ROAD,,Green Tree,PITTSBURGH,Allegheny County,PA,15220,40.42452053,-80.04174563,POOLS (INDOOR),2021-10-28T15:25:00,2021-10-29T16:05:00,INITIAL INSPECTION,f,1,WILSON ANGELA,,,,,5.2,,7.6,,,70,t,t,t,t,t,t,10/29/2021
126955,196268,2028,LANGLEY K-8 POOL,2940 SHERADEN  BOULEVARD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15204,40.45453986,-80.05467276,POOLS (SCHOOLS),2021-10-28T10:25:00,2021-11-01T11:05:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,5.5,,0,,,,7.2,,,175,t,t,f,t,t,t,11/8/2022
126956,196341,739,SPRINGHILL SUITES NORTH SHORE POOL,223 FEDERAL STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.44861362,-80.00470428,POOLS (INDOOR),2021-11-03T13:50:00,2021-11-04T14:45:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2.8,,0.4,,,,7.4,,,30,t,t,t,t,t,t,11/8/2021
126957,196392,2003,JEWISH COMMUNITY CENTER TRAINING POOL,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.43766873,-79.92390396,POOLS (INDOOR),2021-11-01T14:00:00,2021-11-05T14:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,5,5,0.2,0.2,,,7.4,7.4,,110,t,t,t,t,t,t,11/5/2021
126958,196399,1140,RESIDENCE INN POOL,574 W GENERAL ROBINSON STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.44799057,-80.00731418,POOLS (INDOOR),2021-11-04T12:35:00,2021-11-05T13:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1,,0.2,,,,7.4,,,110,t,t,f,t,t,t,12/9/2021
126959,196434,9538,SPRINGHILL SUITES MT LEBANON POOL,611 WASHINGTON ROAD,,Mount Lebanon,Pittsburgh,Allegheny County,PA,15228,40.38268795,-80.04370817,POOLS (INDOOR),2021-11-05T14:57:00,2021-11-08T15:03:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,11/8/2021
126960,196446,1975,PGH ARSENAL 6-8 POOL,220 40TH STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15201,40.46810534,-79.96186209,POOLS (SCHOOLS),2021-11-08T14:10:00,2021-11-08T14:20:00,FOLLOW UP INSPECTION,t,2,WOLFE CURRIER,,,,,,,,,,,t,t,t,t,t,t,11/10/2021
126961,196562,5081,CMU AQUATIC CENTER-SPA,5000 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44421298,-79.9433991,SPA/HOT TUB (INDOOR),2021-11-10T03:15:00,2021-11-12T03:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,11/10/2021
126962,196604,1944,RIVERS CLUB MEN'S SPA,301 GRANT STREET, #411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.43800708,-79.99861019,SPA/HOT TUB (INDOOR),2021-11-12T09:30:00,2021-11-15T09:45:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,,,,,4,,7.4,,,10,t,t,f,t,t,t,1/19/2022
126963,196706,469,THE VENUE POOL,625 STANWIX STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.44316988,-80.00484614,POOLS (OUTDOOR),2021-11-17T12:00:00,2021-11-19T12:30:00,FOLLOW UP INSPECTION,t,2,MURPHY COLLEEN,,,,,,,,,,,t,t,f,t,t,t,11/19/2021
126964,196744,6464,DRURY INN AIRPORT SPA,101 RIDGE ROAD,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.43752722,-80.15384177,SPA/HOT TUB (INDOOR),2021-11-17T11:10:00,2021-11-22T11:45:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,,,,,10,,7.6,,,50,t,t,f,t,t,t,
126966,196782,5922,RESIDENCE INN OAKLAND UNIVERSITY PL POOL,3341 FORBES  AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.43819466,-79.9621171,POOLS (INDOOR),2021-11-23T14:25:00,2021-11-24T13:30:00,INITIAL INSPECTION,f,1,ANDERSON IAN,,,0.2,,4.2,,7.6,,,58,t,t,t,t,t,t,11/30/2021
126969,196020,1097,MCKNIGHT HOTEL - POOL,4575 MCKNIGHT ROAD,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,40.50452415,-80.01036738,POOLS (INDOOR),2021-10-19T14:10:00,2021-10-20T14:35:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,0.8,,,,,,,65,t,t,f,t,t,t,10/29/2021
126970,196055,7695,STAYBRIDGE SUITES POOL,239 SUMMIT PARK DRIVE,,North Fayette Township,Pittsburgh,Allegheny County,PA,15275,40.4483239,-80.17842659,POOLS (INDOOR),2021-10-18T12:25:00,2021-10-21T13:30:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,4.5,,0.5,,,,7.2,,,65,t,t,f,t,t,t,10/24/2022
126971,196113,7735,COMFORT INN SUITES - POOL,180 GAMMA  DRIVE,,O'Hara Township,Pittsburgh,Allegheny County,PA,15238,40.50184687,-79.86039245,POOLS (INDOOR),2021-10-21T10:00:00,2021-10-25T11:00:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,8.6,8.2,0,0,0,0,7.8,7.8,0,65,t,t,f,t,t,t,2/9/2023
126973,196276,2455,VIRGINIA MANSIONS CONDO POOL,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.39232938,-80.07102594,POOL (CONDO INDOOR),2021-11-01T13:30:00,2021-11-02T13:44:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,2.8,,0.2,,,,,,,,t,t,t,t,t,t,11/2/2021
126974,196397,2004,JEWISH COMMUNITY CENTER WOMEN'S SPA,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.43766873,-79.92390396,SPA/HOT TUB (INDOOR),2021-11-01T15:00:00,2021-11-05T15:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,1.2,,0,,,,7.4,,,85,t,t,t,t,t,t,11/5/2021
126975,196398,2005,JEWISH COMMUNITY CENTER MEN'S SPA,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.43766873,-79.92390396,SPA/HOT TUB (INDOOR),2021-11-01T15:30:00,2021-11-05T16:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.6,,0,,,,7.6,,,104,t,t,t,t,t,t,11/5/2021
126977,196483,1962,W PA SCHOOL FOR BLIND CHILDREN POOL,201 N BELLEFIELD  AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44921669,-79.95379361,POOLS (SCHOOLS),2021-11-08T13:20:00,2021-11-09T14:00:00,INITIAL INSPECTION,f,1,ANDERSON IAN,3.6,,0.2,,,,7.4,,,100,t,t,t,t,t,t,11/15/2021
126978,196606,5682,DRURY PLAZA HOTEL SPA-PITTSBURGH,745 GRANT STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4429879,-79.99487458,SPA/HOT TUB (INDOOR),2021-11-12T10:45:00,2021-11-15T11:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.5,,,55,t,t,t,t,t,t,11/15/2021
126979,196607,1093,DOUBLETREE HOTEL PITTSBURGH CITY CENTER POOL,1 BIGELOW SQUARE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4405328,-79.99402279,POOLS (INDOOR),2021-11-12T11:30:00,2021-11-15T12:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,1,,0,,,,7.4,,,100,t,t,t,t,t,t,11/15/2021
126980,196708,1409,WYNDHAM GRAND PITTSBURGH - POOL,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.44174089,-80.00640882,POOLS (INDOOR),2021-11-17T01:00:00,2021-11-19T01:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.8,,,90,t,t,t,t,t,t,11/19/2021
